bug_id,summary,description,method,bug_report_url,commit_url,commit_id,pre_commit_id,commit_time,is_bias
1055,Javadoc Taglet option missing [javadoc],"Since JDK 1.4, javadoc supports the -tag:cm:description argument which 


provides a nice and simple way of specifying new javadoc tags. 




 http://java.sun.com/j2se/1.4.2/docs/tooldocs/windows/javadoc.html#tag 




The use of this cmd line argument is not supported in Eclipse (while the


use of doclets seems to be) and could be easily integrated in the IDE,


e.g. as a project preference.




This request is fueled by a university course where we teach programming 


using the contract model - and while the @require and @ensure tags are 


still being kept as ""future"" tags, we would like to have a simple configuration


option that allows us to generate documentation for the contract model _now_.




 http://forum.java.sun.com/thread.jsp?forum=41&thread=72830",['tomcat.java.org.apache.catalina.core.StandardContext-start()'],https://bugs.eclipse.org/bugs/show_bug.cgi?id=39699,https://github.com/apache/tomcat/commit/7b870a4,7b870a495d1d9fcf7bf6602f197ae3998ac6499c,29b34d6fbbab2b63491108e114fd2093d2545d33,2006-06-08 14:50:07,not localized
1054,Working directory block should have 3 radio buttons,"The working directory block (on the arguments tab) is non-standard. The check 
box below the control enables the controls above it. Instead, there should be 3 
radio buttons: local dir, workspace dir, default. The description of ""default"" 
should update based on whether there is an associated project.",['tomcat.java.org.apache.catalina.core.StandardWrapper-unload()'],https://bugs.eclipse.org/bugs/show_bug.cgi?id=39769,https://github.com/apache/tomcat/commit/276e5ac,276e5acca8d80e7a1e02280bd8376799151e6aa2,914932000311c8de5b8d7f7386988f9fd5b63180,2006-06-11 21:53:53,not localized
1053,[preferences][templates] NPE in EditTemplateDialog,"1. Open preference - java - code templates - constructor comments
2. Edit the comment template: Press CTRL + SPACE, choose $date
3. press CTRL + Z (undo)

viewer.addTextListener(new ITextListener() {
  public void textChanged(TextEvent event) {
    doSourceChanged(event.getDocumentEvent().getDocument()); <- NPE here
  }
});

java.lang.NullPointerException
	at
org.eclipse.jdt.internal.ui.preferences.EditTemplateDialog$3.textChanged(EditTemplateDialog.java:464)
	at org.eclipse.jface.text.TextViewer.updateTextListeners(TextViewer.java:2146)
	at org.eclipse.jface.text.TextViewer.fireRedrawChanged(TextViewer.java:4055)
	at org.eclipse.jface.text.TextViewer.enabledRedrawing(TextViewer.java:4109)
	at org.eclipse.jface.text.TextViewer.setRedraw(TextViewer.java:4161)
	at
org.eclipse.jface.text.DefaultUndoManager$CompoundTextCommand.undo(DefaultUndoManager.java:235)
	at
org.eclipse.jface.text.DefaultUndoManager.internalUndo(DefaultUndoManager.java:529)
	at org.eclipse.jface.text.DefaultUndoManager.undo(DefaultUndoManager.java:807)
	at org.eclipse.jface.text.TextViewer.doOperation(TextViewer.java:3198)
	at org.eclipse.jface.text.source.SourceViewer.doOperation(SourceViewer.java:505)
	at
org.eclipse.jdt.internal.ui.preferences.EditTemplateDialog.handleVerifyKeyPressed(EditTemplateDialog.java:524)
	at
org.eclipse.jdt.internal.ui.preferences.EditTemplateDialog.access$1(EditTemplateDialog.java:509)
	at
org.eclipse.jdt.internal.ui.preferences.EditTemplateDialog$5.verifyKey(EditTemplateDialog.java:477)
	at
org.eclipse.jface.text.TextViewer$VerifyKeyListenersManager.verifyKey(TextViewer.java:372)
	at
org.eclipse.swt.custom.StyledTextListener.handleEvent(StyledTextListener.java:55)
	at org.eclipse.swt.widgets.EventTable.sendEvent(EventTable.java:82)
	at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:848)
	at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:872)
	at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:857)
	at org.eclipse.swt.widgets.Widget.notifyListeners(Widget.java:665)
	at org.eclipse.swt.custom.StyledText.handleKeyDown(StyledText.java:5201)
	at org.eclipse.swt.custom.StyledText$8.handleEvent(StyledText.java:4950)
	at org.eclipse.swt.widgets.EventTable.sendEvent(EventTable.java:82)
	at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:848)
	at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:872)
	at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:857)
	at org.eclipse.swt.widgets.Control.sendKeyEvent(Control.java:1637)
	at org.eclipse.swt.widgets.Control.sendKeyEvent(Control.java:1633)
	at org.eclipse.swt.widgets.Control.WM_CHAR(Control.java:2945)
	at org.eclipse.swt.widgets.Control.windowProc(Control.java:2824)
	at org.eclipse.swt.widgets.Display.windowProc(Display.java:2566)
	at org.eclipse.swt.internal.win32.OS.DispatchMessageW(Native Method)
	at org.eclipse.swt.internal.win32.OS.DispatchMessage(OS.java:1334)
	at org.eclipse.swt.widgets.Display.readAndDispatch(Display.java:1745)
	at org.eclipse.jface.window.Window.runEventLoop(Window.java:583)
	at org.eclipse.jface.window.Window.open(Window.java:563)
	at
org.eclipse.jdt.internal.ui.preferences.CodeTemplateBlock.edit(CodeTemplateBlock.java:346)
	at
org.eclipse.jdt.internal.ui.preferences.CodeTemplateBlock.doButtonPressed(CodeTemplateBlock.java:333)
	at
org.eclipse.jdt.internal.ui.preferences.CodeTemplateBlock$CodeTemplateAdapter.doubleClicked(CodeTemplateBlock.java:81)
	at
org.eclipse.jdt.internal.ui.wizards.dialogfields.TreeListDialogField.doDoubleClick(TreeListDialogField.java:890)
	at
org.eclipse.jdt.internal.ui.wizards.dialogfields.TreeListDialogField$TreeViewerAdapter.doubleClick(TreeListDialogField.java:876)
	at org.eclipse.jface.viewers.StructuredViewer$1.run(StructuredViewer.java:367)
	at
org.eclipse.core.internal.runtime.InternalPlatform.run(InternalPlatform.java:1015)
	at org.eclipse.core.runtime.Platform.run(Platform.java:420)
	at
org.eclipse.jface.viewers.StructuredViewer.fireDoubleClick(StructuredViewer.java:365)
	at
org.eclipse.jface.viewers.StructuredViewer.handleDoubleSelect(StructuredViewer.java:584)
	at
org.eclipse.jface.viewers.StructuredViewer$4.widgetDefaultSelected(StructuredViewer.java:679)
	at
org.eclipse.jface.util.OpenStrategy.fireDefaultSelectionEvent(OpenStrategy.java:187)
	at org.eclipse.jface.util.OpenStrategy.access$0(OpenStrategy.java:184)
	at org.eclipse.jface.util.OpenStrategy$1.handleEvent(OpenStrategy.java:231)
	at org.eclipse.swt.widgets.EventTable.sendEvent(EventTable.java:82)
	at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:848)
	at org.eclipse.swt.widgets.Display.runDeferredEvents(Display.java:2041)
	at org.eclipse.swt.widgets.Display.readAndDispatch(Display.java:1747)
	at org.eclipse.jface.window.Window.runEventLoop(Window.java:583)
	at org.eclipse.jface.window.Window.open(Window.java:563)
	at org.eclipse.ui.internal.OpenPreferencesAction.run(OpenPreferencesAction.java:53)
	at org.eclipse.jface.action.Action.runWithEvent(Action.java:842)
	at
org.eclipse.jface.action.ActionContributionItem.handleWidgetSelection(ActionContributionItem.java:542)
	at
org.eclipse.jface.action.ActionContributionItem.access$4(ActionContributionItem.java:496)
	at
org.eclipse.jface.action.ActionContributionItem$6.handleEvent(ActionContributionItem.java:468)
	at org.eclipse.swt.widgets.EventTable.sendEvent(EventTable.java:82)
	at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:848)
	at org.eclipse.swt.widgets.Display.runDeferredEvents(Display.java:2041)
	at org.eclipse.swt.widgets.Display.readAndDispatch(Display.java:1747)
	at org.eclipse.ui.internal.Workbench.runEventLoop(Workbench.java:1383)
	at org.eclipse.ui.internal.Workbench.run(Workbench.java:1366)
	at
org.eclipse.core.internal.boot.InternalBootLoader.run(InternalBootLoader.java:858)
	at org.eclipse.core.boot.BootLoader.run(BootLoader.java:461)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)
	at
sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)
	at java.lang.reflect.Method.invoke(Method.java:324)
	at org.eclipse.core.launcher.Main.basicRun(Main.java:291)
	at org.eclipse.core.launcher.Main.run(Main.java:747)
	at org.eclipse.core.launcher.Main.main(Main.java:583)",['tomcat.java.org.apache.jasper.el.VariableResolverImpl-resolveVariable(String)'],https://bugs.eclipse.org/bugs/show_bug.cgi?id=40012,https://github.com/apache/tomcat/commit/01a9b59,01a9b59984cbfb2c6af048ff19d8228334b6af7f,2ce8dad75b644e552e0f07622ab70f27786d26b6,2006-07-11 17:51:14,not localized
1052,Create Class QuickFix doesn't create import [quick fix],"I2003-03-07

Using the ""Create class"" QuickFix, I created a class in a _different_ package. 
An import statement wasn't generated, resulting in an compile error.

Expected behavior:
Eclipse should import the newly created class in case it is created in a 
different package.",['tomcat.java.org.apache.catalina.servlets.CGIServlet-run()'],https://bugs.eclipse.org/bugs/show_bug.cgi?id=34801,https://github.com/apache/tomcat/commit/c30afec,c30afec80deea72708dbf00f1cb692025860147e,c7f1aec0934c1c11cc881b9f11398b24a2745e2b,2006-07-22 00:19:59,not localized
1051,__attribute__ is not supported (GCC),"GCC supports attribute specification for functions, types and variables:

int square (int) __attribute__ ((const));
int x __attribute__ ((aligned (16))) = 0;
struct S { short f[3]; } __attribute__ ((aligned (8)));
typedef int more_aligned_int __attribute__ ((aligned (8)));","['tomcat.java.org.apache.catalina.ssi.SSIProcessor-parseParamValues(StringBuffer,int,int)']",https://bugs.eclipse.org/bugs/show_bug.cgi?id=39689,https://github.com/apache/tomcat/commit/8ed77be,8ed77be99141f5ec060d6e9b21ce5278519e666c,c30afec80deea72708dbf00f1cb692025860147e,2006-07-22 21:48:51,not localized
1050,Misleading syntax error diagnosis,"Build 20030625 + JDT/Core HEAD 0703

If creating a file Enclosing.java with contents from  bug 39506 , containing more 
than one file contents, the diagnose parser will signal a curious misplaced 
construct...","['tomcat.java.org.apache.catalina.ssi.SSIServletExternalResolver-getFileText(String,boolean)']",https://bugs.eclipse.org/bugs/show_bug.cgi?id=39592,https://github.com/apache/tomcat/commit/0f9844c,0f9844c5f248862e8a99f194596da0fdc302ffd8,e704bc8b1ffafe43e1f9caf974058d79e7c647fe,2006-07-27 00:34:35,not localized
1049,can't debug into class if file/class name identifier has _$$_,"I got a problem: _$$_ is legal identifier for class name. Eclipse
can run it properly, but there is problem to debug into it. 

This is a test case(file name:B_$$_uckets.java).  
When put in same package, error message is :""""There is no source file attached 
to the class file B_$$_uckets.class""

When put in difference packages, error message is :""The source of the 
type 'B__$$__uckets' could not be shown as the type was not found"".

Examples:





/**
 * Counters of random values that fall within each interval.
 */
public class B__$$__uckets
{
    private static final int MAX_BAR_SIZE = 50;

    private AlignRight ar = new AlignRight();

    /** number of intervals */      private int n;
    /** counters per interval */    private int counters[];

    /** minimum random value */     private float rMin;
    /** maximum random value */     private float rMax;
    /** from min to max */          private float width;

    /**
     * Constructor.
     * @param n the number of intervals
     */
    public B__$$__uckets(int n)
    {
        this.n = n;
        this.counters = new int[n];
        clear();
    }

    /**
     * Return the counter value for interval i.
     * @param i the value of i
     * @return the counter value
     */
    public int get(int i) { return counters[i]; }

    /**
     * Set the minimum and maximum random values.
     * @param rMin the minimum value
     * @param rMax the maximum value
     */
    public void setLimits(float rMin, float rMax)
    {
        this.rMin  = rMin;
        this.rMax  = rMax;
        this.width = (rMax - rMin)/n;
    }

    /**
     * Determine a random value's interval and count it.
     * @param r the random value
     */
    public void put(float r)
    {
        // Ignore the value if it's out of range.
        if ((r < rMin) || (r > rMax)) return;

        // Determine its interval and count it.
        int i = (int) ((r - rMin)/width);
        ++counters[i];
    }

    /**
     * Clear all the interval counters.
     */
    public void clear()
    {
        for (int i = 0; i < counters.length; ++i) counters[i] = 0;
    }

    /**
     * Print the counter values as a horizontal bar chart. Scale the
     * chart so that the longest bar is MAX_BAR_SIZE.
     */
    public void print()
    {
        // Get the longest bar's length.
        int maxCount = 0;
        for (int i = 0; i < n; ++i) {
            maxCount = Math.max(maxCount, counters[i]);
        }

        // Compute the scaling factor.
        float factor = ((float) MAX_BAR_SIZE)/maxCount;

        // Loop to print each bar.
        for (int i = 0; i < n; ++i) {
            int b = counters[i];

            // Interval number.
            ar.print(i, 2);
            ar.print(b, 7);
            System.out.print("": "");

            // Bar.
            int length = Math.round(factor*b);
            for (int j = 0; j < length; ++j) System.out.print(""*"");
            System.out.println();
        }
    }
}



I have tried Jbuilder, which can run/debug fine under exact same situation.","['tomcat.java.org.apache.el.lang.ELSupport-equals(Object,Object)', 'tomcat.java.org.apache.el.lang.ELSupport-coerceToString(Object)', 'tomcat.java.org.apache.el.lang.ELSupport-coerceToType(Object,Class)', 'tomcat.java.org.apache.jasper.servlet.JspServletWrapper-loadTagFile()', 'tomcat.java.org.apache.jasper.servlet.JspServletWrapper-getDependants()']",https://bugs.eclipse.org/bugs/show_bug.cgi?id=38676,https://github.com/apache/tomcat/commit/edc20fa,edc20fa71abbc8dfc898ec793903f22caec9c6ef,bcbfbe89fc649c69f14610dea7dace80654f14ec,2006-08-18 14:32:34,not localized
1048,[misc] Javadoc view: Should always update to latest element,"M2 testing

If the cursor is placed at an element that does not contain documentation, the
view does not update and the documentation of the previous element is kept.

I think this is very confusing: If you don't follow the updating of the view,
you don't realize that the doc does not correspond to the current element. You start
reading and find out that this makes no sense. See also  bug 40301 , that the
current element should be rendered prominently on the first line.

An Idea might to be a 'lock' button on the view tool bar: If it is pressed, the
view does then not follow the selection.","['tomcat.java.org.apache.jk.core.MsgContext-action(ActionCode,Object)', 'tomcat.java.org.apache.coyote.ajp.AjpAprProcessor-action(ActionCode,Object)']",https://bugs.eclipse.org/bugs/show_bug.cgi?id=40306,https://github.com/apache/tomcat/commit/a91b95e,a91b95efc9c1ca7c30946ecc9e0dc111f5ccebee,bba16653d1be84544236f59e620c31fa99953906,2006-08-28 04:49:31,not localized
1047,Compare with -> Each other is not enabled,"Eclipse 3.0 M1 and Eclipse 3.0 I200306100800

Tried Suse 8.2 and Windows XP

1) Select two java files in the Packages View
2) From the context menu select Compare With.
Note that the option ""Each Other"" is not enabled.

I use this Compare With Each Other feature all the time to check the 
consistency between platform implementations and to check the consistency 
between simlar components (such as TextTransfer versus RTFTransfer).  Without 
it I can not use Eclipse 3.0 - going back to 2.1.","['tomcat.java.org.apache.jasper.compiler.Compiler-isOutDated(boolean)', 'tomcat.java.org.apache.jasper.servlet.JspServletWrapper-service(HttpServletRequest,HttpServletResponse,boolean)', 'tomcat.java.org.apache.jasper.JspCompilationContext-incrementRemoved()', 'tomcat.java.org.apache.jasper.JspCompilationContext-compile()']",https://bugs.eclipse.org/bugs/show_bug.cgi?id=38713,https://github.com/apache/tomcat/commit/c7f0f60,c7f0f60de6788a976486db774cc70571166022de,651c5cb8e5113f58f53177eea26f66e391d281ec,2006-09-02 09:28:35,not localized
1046,Subclasses of TextEditor can no longer create custom SourceViewers,"In 2.1M5, org.eclipse.ui.editors.text.TextEditor initializes a private field
called fSourceViewerDecorationSupport inside of createSourceViewer.  We're
substituting a custom subclass of SourceViewer by overriding that method in our
subclass of TextEditor.  Unfortunately, this gives us a NPE when
createPartControl is called later since TextEditor references that field in
numerous places.","['tomcat.java.org.apache.jasper.compiler.Generator-generateSetters(Node.CustomTag,String,TagHandlerInfo,boolean)']",https://bugs.eclipse.org/bugs/show_bug.cgi?id=31804,https://github.com/apache/tomcat/commit/2d6d717,2d6d717033f50647054d6b3a1bf00ecedd604668,7f82d2d565b6ad01e389a7eddca7211a085e64c5,2006-09-09 21:14:49,not localized
