bug_id,summary,description,method,bug_report_url,commit_url,commit_id,pre_commit_id,commit_time,is_bias
592,Compiler error when introducing a "final" field,"The aspect below fails to compile with 1.1b2, producing the compilation error: 
--------------------
$ ajc com/ibm/amc/*.java com/ibm/amc/ejb/*.java
d:/eclipse/runtime-workspace-ajsamples/Mock EJBs/com/ibm/amc/DemoBeanEJB.java:1:
 Cannot assign a value to the final field com.ibm.amc.DemoBean.ajc$interField$co
m_ibm_amc$verbose

!! no source information available !!

1 error
---------------------------


package com.ibm.amc;

import com.ibm.amc.ejb.SessionBean;
/**
 * @author colyer
 *
 * To change this generated comment edit the template variable ""typecomment"":
 * Window>Preferences>Java>Templates.
 * To enable and disable the creation of type comments go to
 * Window>Preferences>Java>Code Generation.
 */
public aspect DemoBeanEJB {

	declare parents: DemoBean implements SessionBean;
	
        // THIS NEXT LINE IS THE CULPRIT
	static final boolean DemoBean.verbose = true;
	
	private transient String DemoBean.ctx;
	
	public void DemoBean.ejbActivate( ) {
		if ( verbose ) {
			System.out.println( ""ejbActivate Called"" );	
		}	
	}
}


-------------------
Making the inter-type declaration non-final solves the problem...","['org.aspectj.weaver.src.org.aspectj.weaver.AjcMemberMaker-makePublic(int)', 'org.aspectj.weaver.src.org.aspectj.weaver.AjcMemberMaker-interMethod(ResolvedMember,TypeX,boolean)', 'org.aspectj.weaver.src.org.aspectj.weaver.AjcMemberMaker-interFieldInterfaceField(ResolvedMember,TypeX,TypeX)', 'org.aspectj.weaver.src.org.aspectj.weaver.AjcMemberMaker-interFieldClassField(ResolvedMember,TypeX)']",https://bugs.eclipse.org/bugs/show_bug.cgi?id=28974,https://github.com/eclipse/org.aspectj/commit/99a873c,99a873c3070bea836e8cd4bd33c610fb41efa2c6,9a532972a6044080b4fed1d1d4a76f803f46fcc6,2003/1/14 19:31,not localized
591,waever tries to weave into native methods ...,"If you don't find the exception below in a bug, please add a new bug
To make the bug a priority, please include a test program
that can reproduce this exception.
bad non-abstract method with no code: private native int 
nativeMessagePumpInitialize() on public class 
plc.comm.pvi.PviCom$LinkEventHandlerImpl
bad non-abstract method with no code: private native int 
nativeMessagePumpInitialize() on public class 
plc.comm.pvi.PviCom$LinkEventHandlerImpl
java.lang.RuntimeException: bad non-abstract method with no code: private 
native int nativeMessagePumpInitialize() on public class 
plc.comm.pvi.PviCom$LinkEventHandlerImpl
        at org.aspectj.weaver.bcel.LazyMethodGen.<init>(Unknown Source)
        at org.aspectj.weaver.bcel.LazyClassGen.<init>(Unknown Source)
        at org.aspectj.weaver.bcel.BcelObjectType.getLazyClassGen(Unknown 
Source)
        at org.aspectj.weaver.bcel.BcelWeaver.weave(Unknown Source)
        at org.aspectj.weaver.bcel.BcelWeaver.weave(Unknown Source)
        at 
org.aspectj.ajdt.internal.core.builder.AjBuildManager.weaveAndGenerateClassFiles
(Unknown Source)
        at org.aspectj.ajdt.internal.core.builder.AjBuildManager.batchBuild
(Unknown Source)
        at org.aspectj.ajdt.ajc.AjdtCommand.runCommand(Unknown Source)
        at org.aspectj.tools.ajc.Main.run(Unknown Source)
        at org.aspectj.tools.ajc.Main.runMain(Unknown Source)
        at org.aspectj.tools.ajc.Main.main(Unknown Source)","['org.aspectj.weaver.src.org.aspectj.weaver.bcel.LazyMethodGen-pack()', 'org.aspectj.weaver.src.org.aspectj.weaver.bcel.LazyMethodGen-LazyMethodGen(Method,LazyClassGen)', 'org.aspectj.weaver.src.org.aspectj.weaver.bcel.LazyMethodGen-print()', 'org.aspectj.weaver.src.org.aspectj.weaver.bcel.LazyMethodGen-packBody(MethodGen)', 'org.aspectj.weaver.src.org.aspectj.weaver.bcel.LazyMethodGen-run()']",https://bugs.eclipse.org/bugs/show_bug.cgi?id=28919,https://github.com/eclipse/org.aspectj/commit/2781720,27817202657a92778479de5063097086b511385b,99a873c3070bea836e8cd4bd33c610fb41efa2c6,2003/1/14 20:02,fully localized
590,ajc -emacssym chokes on pointcut that includes an intertype method,"This works fine without -emacssym, but dies with it:

aspect Foo {
  before() : call(void foo()) { }
  void Bar.bar() { foo(); }
}
class Bar {
  void foo() { }
}

munger: (before: (persingleton(Foo) && call(ExactTypePattern(void) foo()))->void Foo.ajc$before$Foo$f()) on method-call(void Bar.foo())
trouble in: 
public class Foo extends java.lang.Object:
  TypeMungers: [(BcelTypeMunger ResolvedTypeMunger(Method, void Bar.bar()))]
  public static final Foo ajc$perSingletonInstance
  static void <clinit>():
                    INVOKESTATIC Foo.ajc$clinit ()V   (line 1)
    staticinitialization(void Foo.<clinit>())
    |               RETURN
    staticinitialization(void Foo.<clinit>())
  end static void <clinit>()

  void <init>():
                    ALOAD_0     // Foo this   (line 1)
                    INVOKESPECIAL java.lang.Object.<init> ()V
    constructor-execution(void Foo.<init>())
    |               RETURN
    constructor-execution(void Foo.<init>())
  end void <init>()

  public void ajc$before$Foo$f()    AdviceAttribute(before, call(ExactTypePattern(void) foo()), 0, 15)
:
    advice-execution(void Foo.ajc$before$Foo$f())
    |               RETURN   (line 2)
    advice-execution(void Foo.ajc$before$Foo$f())
  end public void ajc$before$Foo$f()

  public static void ajc$interMethod$Foo$Bar$bar(Bar)    EffectiveSignatureAttribute(void Bar.bar(), method-execution)
:
    method-execution(void Bar.bar())
    |               ALOAD_0     // Bar arg0   (line 3)
    | method-call(void Bar.foo())
    | |             GETSTATIC Foo.ajc$perSingletonInstance LFoo;
    | |             INVOKEVIRTUAL Foo.ajc$before$Foo$f ()V
    | |             INVOKEVIRTUAL Bar.foo ()V
    | method-call(void Bar.foo())
    |               RETURN
    method-execution(void Bar.bar())
  end public static void ajc$interMethod$Foo$Bar$bar(Bar)

  public static void ajc$interMethodDispatch1$Foo$Bar$bar(Bar)    EffectiveSignatureAttribute(void Bar.bar(), method-call)
:
                    ALOAD_0     // Bar arg0
                    INVOKEVIRTUAL Bar.ajc$interMethodDispatch2$$bar ()V
                    RETURN
  end public static void ajc$interMethodDispatch1$Foo$Bar$bar(Bar)

  public static Foo aspectOf()    org.aspectj.weaver.AjAttribute$AjSynthetic@f8f7db
:
                    GETSTATIC Foo.ajc$perSingletonInstance LFoo;
                    ARETURN
  end public static Foo aspectOf()

  public static boolean hasAspect()    org.aspectj.weaver.AjAttribute$AjSynthetic@5856a5
:
                    GETSTATIC Foo.ajc$perSingletonInstance LFoo;
                    IFNULL L0
                    ICONST_1
                    IRETURN
                L0: ICONST_0
                    IRETURN
  end public static boolean hasAspect()

  private static void ajc$clinit()    org.aspectj.weaver.AjAttribute$AjSynthetic@c39a20
:
                    NEW Foo
                    DUP
                    INVOKESPECIAL Foo.<init> ()V
                    PUTSTATIC Foo.ajc$perSingletonInstance LFoo;
                    RETURN
  end private static void ajc$clinit()
end public class Foo
Exception thrown from AspectJ 1.1b2

This might be logged as a bug already -- see the bug database at
   http://dev.eclipse.org  (product: AspectJ, component: compiler)

Bugs for exceptions thrown have titles File:line from the top stack, 
e.g., ""SomeFile.java:243""

If you don't find the exception below in a bug, please add a new bug
To make the bug a priority, please include a test program
that can reproduce this exception.
null
java.lang.NullPointerException
	at org.aspectj.weaver.AsmAdaptor.findOrCreateBodyNode(Unknown Source)
	at org.aspectj.weaver.AsmAdaptor.getNode(Unknown Source)
	at org.aspectj.weaver.AsmAdaptor.noteMunger(Unknown Source)
	at org.aspectj.weaver.Shadow.implementMungers(Unknown Source)
	at org.aspectj.weaver.Shadow.implement(Unknown Source)
	at org.aspectj.weaver.bcel.BcelClassWeaver.implement(Unknown Source)
	at org.aspectj.weaver.bcel.BcelClassWeaver.weave(Unknown Source)
	at org.aspectj.weaver.bcel.BcelClassWeaver.weave(Unknown Source)
	at org.aspectj.weaver.bcel.BcelWeaver.weave(Unknown Source)
	at org.aspectj.weaver.bcel.BcelWeaver.weave(Unknown Source)
	at org.aspectj.ajdt.internal.core.builder.AjBuildManager.weaveAndGenerateClassFiles(Unknown Source)
	at org.aspectj.ajdt.internal.core.builder.AjBuildManager.batchBuild(Unknown Source)
	at org.aspectj.ajdt.ajc.AjdtCommand.runCommand(Unknown Source)
	at org.aspectj.tools.ajc.Main.run(Unknown Source)
	at org.aspectj.tools.ajc.Main.runMain(Unknown Source)
	at org.aspectj.tools.ajc.Main.main(Unknown Source)


1 fail|abort","['org.aspectj.weaver.src.org.aspectj.weaver.Shadow-implementMungers()', 'org.aspectj.org.aspectj.ajdt.core.src.org.aspectj.ajdt.internal.core.builder.AsmBuilder-visit(MethodDeclaration,ClassScope)', 'org.aspectj.org.aspectj.ajdt.core.src.org.aspectj.ajdt.internal.core.builder.AsmBuilder-visit(TypeDeclaration,CompilationUnitScope)', 'org.aspectj.org.aspectj.ajdt.core.src.org.aspectj.ajdt.internal.core.builder.AsmBuilder-visit(MemberTypeDeclaration,ClassScope)', 'org.aspectj.weaver.src.org.aspectj.weaver.bcel.BcelWeaver-weave(UnwovenClassFile,BcelObjectType)', 'org.aspectj.weaver.src.org.aspectj.weaver.AsmAdaptor-findMemberInClass(ProgramElementNode,Member)', 'org.aspectj.weaver.src.org.aspectj.weaver.AsmAdaptor-getNode(StructureModel,Advice)', 'org.aspectj.weaver.src.org.aspectj.weaver.AsmAdaptor-getNode(StructureModel,Shadow)', 'org.aspectj.weaver.src.org.aspectj.weaver.AsmAdaptor-findOrCreateBodyNode(ProgramElementNode,Member,Shadow)', 'org.aspectj.sm.src.org.aspectj.asm.StructureModel-findNodeForClass(String,String)']",https://bugs.eclipse.org/bugs/show_bug.cgi?id=29186,https://github.com/eclipse/org.aspectj/commit/c1260e6,c1260e6b26b78f0f431b778cd8f22d3493e97f3f,f60b7314484724099896fd9ace6f26e5363b6476,2003/1/14 21:36,partially localized
588,Ajde does not support new AspectJ 1.1 compiler options,"The org.aspectj.ajde.BuildOptionsAdapter interface does not yet support the new 
AspectJ 1.1 compiler options. These need to be added to the interface, any old 
or renamed options deprecated, and then the correct processing needs to happen 
within Ajde to pass these options to the compiler.

This enhancement is needed by the various IDE projects for there AspectJ 1.1
support.","['org.aspectj.org.aspectj.ajdt.core.testsrc.org.aspectj.ajdt.ajc.BuildArgParserTestCase-testXlint()', 'org.aspectj.jde.testsrc.org.aspectj.ajde.NullIdeManager-init(String)', 'org.aspectj.jde.testsrc.org.aspectj.ajde.StructureModelTest-testFieldInitializerCorrespondence()', 'org.aspectj.jde.testsrc.org.aspectj.ajde.StructureModelTest-testFileNodeFind()', 'org.aspectj.jde.testsrc.org.aspectj.ajde.StructureModelTest-testMainClassNodeInfo()', 'org.aspectj.jde.src.org.aspectj.ajde.ui.internal.AjcBuildOptions-getUseJavacMode()', 'org.aspectj.jde.src.org.aspectj.ajde.ui.internal.AjcBuildOptions-setPreprocessMode(boolean)', 'org.aspectj.jde.src.org.aspectj.ajde.ui.internal.AjcBuildOptions-getPreprocessMode()', 'org.aspectj.jde.src.org.aspectj.ajde.ui.internal.AjcBuildOptions-setSourceOnePointFourMode(boolean)', 'org.aspectj.jde.src.org.aspectj.ajde.ui.internal.AjcBuildOptions-setLenientSpecMode(boolean)', 'org.aspectj.jde.src.org.aspectj.ajde.ui.internal.AjcBuildOptions-setPortingMode(boolean)', 'org.aspectj.jde.src.org.aspectj.ajde.ui.internal.AjcBuildOptions-getStrictSpecMode()', 'org.aspectj.jde.src.org.aspectj.ajde.ui.internal.AjcBuildOptions-getLenientSpecMode()', 'org.aspectj.jde.src.org.aspectj.ajde.ui.internal.AjcBuildOptions-getWorkingOutputPath()', 'org.aspectj.jde.src.org.aspectj.ajde.ui.internal.AjcBuildOptions-getSourceOnePointFourMode()', 'org.aspectj.jde.src.org.aspectj.ajde.ui.internal.AjcBuildOptions-setStrictSpecMode(boolean)', 'org.aspectj.jde.src.org.aspectj.ajde.ui.internal.AjcBuildOptions-setUseJavacMode(boolean)', 'org.aspectj.jde.src.org.aspectj.ajde.ui.internal.AjcBuildOptions-getPortingMode()', 'org.aspectj.jde.src.org.aspectj.ajde.ui.internal.AjcBuildOptions-setWorkingDir(String)', 'org.aspectj.jde.testsrc.org.aspectj.ajde.AjdeTests-suite()', 'org.aspectj.org.aspectj.ajdt.core.src.org.aspectj.ajdt.ajc.BuildArgParser-parseOption(String,LinkedList)', 'org.aspectj.jde.testsrc.org.aspectj.ajde.StructureModelRegressionTest-verifyAgainstSavedModel(String)', 'org.aspectj.jde.testsrc.org.aspectj.ajde.StructureModelRegressionTest-test()', 'org.aspectj.jde.testsrc.org.aspectj.ajde.NullIdeProperties-getClasspath()', 'org.aspectj.jde.testsrc.org.aspectj.ajde.ui.StructureViewManagerTest-testFreshStructureModelCreation()', 'org.aspectj.jde.src.org.aspectj.ajde.internal.CompilerAdapter-genBuildConfig(String)', 'org.aspectj.jde.src.org.aspectj.ajde.internal.AspectJBuildManager-getFormattedOptionsString(BuildOptionsAdapter,ProjectPropertiesAdapter)', 'org.aspectj.jde.src.org.aspectj.ajde.BuildOptionsAdapter-getStrictSpecMode()', 'org.aspectj.jde.src.org.aspectj.ajde.BuildOptionsAdapter-getUseJavacMode()', 'org.aspectj.jde.src.org.aspectj.ajde.BuildOptionsAdapter-getLenientSpecMode()', 'org.aspectj.jde.src.org.aspectj.ajde.BuildOptionsAdapter-getCharacterEncoding()', 'org.aspectj.jde.src.org.aspectj.ajde.BuildOptionsAdapter-getWorkingOutputPath()', 'org.aspectj.jde.src.org.aspectj.ajde.BuildOptionsAdapter-getSourceOnePointFourMode()', 'org.aspectj.jde.src.org.aspectj.ajde.BuildOptionsAdapter-getPreprocessMode()', 'org.aspectj.jde.src.org.aspectj.ajde.BuildOptionsAdapter-getPortingMode()']",https://bugs.eclipse.org/bugs/show_bug.cgi?id=29769,https://github.com/eclipse/org.aspectj/commit/85a827a,85a827a7f269a18a0c80802811bbc2aa3766c2e4,e5660e9d2e962392ad1b3bcd1fc5cbe4725cf8ae,2003/1/25 1:25,partially localized
587,super call in intertype method declaration body causes VerifyError,"AspectJ Compiler 1.1beta4
This program:

aspect Foo {
  void A.foo() { }
  void B.foo() { super.foo(); }
}

class A { }
class B extends A { }

class Main {
  public static void main(String[] args) {
    new B();
  }
}

causes this error at runtime:

Exception in thread ""main"" java.lang.VerifyError: (class: B, method: ajc$superDispatch$B$foo signature: ()V) Illegal use of nonvirtual function call
	at Main.main(Foo.java:11)

Note that foo is never even called; the error happens at load time when the new B() expression causes class B to be loaded.  There's no error if either one of the foo methods is declared in its class directly.

This is kind of a showstopper...

--Doug","['org.aspectj.org.eclipse.jdt.core.compiler.org.eclipse.jdt.internal.compiler.ast.AllocationExpression-manageSyntheticAccessIfNecessary(BlockScope)', 'org.aspectj.org.eclipse.jdt.core.compiler.org.eclipse.jdt.internal.compiler.lookup.MethodBinding-getAccessMethod()', 'org.aspectj.org.aspectj.ajdt.core.src.org.aspectj.ajdt.internal.compiler.ast.InterTypeConstructorDeclaration-makePreMethod(ClassScope,ExplicitConstructorCall)', 'org.aspectj.org.aspectj.ajdt.core.src.org.aspectj.ajdt.internal.compiler.ast.InterTypeConstructorDeclaration-makeAttribute(EclipseWorld)', 'org.aspectj.org.eclipse.jdt.core.compiler.org.eclipse.jdt.internal.compiler.ast.ExplicitConstructorCall-manageSyntheticAccessIfNecessary(BlockScope)', 'org.aspectj.org.eclipse.jdt.core.compiler.org.eclipse.jdt.internal.compiler.ast.MessageSend-manageSyntheticAccessIfNecessary(BlockScope)', 'org.aspectj.org.aspectj.ajdt.core.src.org.aspectj.ajdt.internal.compiler.lookup.InterTypeMethodBinding-InterTypeMethodBinding(EclipseWorld,ResolvedMember,TypeX,AbstractMethodDeclaration)', 'org.aspectj.org.aspectj.ajdt.core.src.org.aspectj.ajdt.internal.compiler.lookup.InterTypeMethodBinding-getAccessMethod()', 'org.aspectj.org.aspectj.ajdt.core.src.org.aspectj.ajdt.internal.compiler.ast.SuperFixerVisitor-endVisit(MessageSend,BlockScope)']",https://bugs.eclipse.org/bugs/show_bug.cgi?id=29959,https://github.com/eclipse/org.aspectj/commit/3e2801a,3e2801ad504e8f6b3fa7b50a42bf2706994e1727,d49c9fdf6d4c334c2a0e6faa454a115616ea0712,2003/2/13 21:00,not localized
586,Error with certain combination of advice,"This program causes the java VM to crash. It is a minimal example -- if you remove anything in the aspects it works. 

1. PROGRAM CODE

package test;
import org.aspectj.lang.*;
import org.aspectj.lang.reflect.*;

public class Test3 {
   public static void main(String[] args) throws Exception {
      Test3 a = new Test3();
      a.foo(-3);
   }
   public void foo(int i) {
      this.x=i;
   }
   int x;
   

}

aspect Log {
   pointcut assign(Object newval, Object targ):
      set(* test..*)  && args(newval) && target(targ);

   before(Object newval, Object targ): assign(newval,targ) {
      Signature sign = thisJoinPoint.getSignature();
      System.out.println(targ.toString() + ""."" + sign.getName() + "":="" + newval);
   }
   /*
}
// Different error message if you divide into two aspects
aspect Tracing {
   */
   pointcut tracedCall():
      call(* test..*(..))/* && !within(Tracing)*/ && !within(Log);

   after() returning (Object o):  tracedCall() {
      // Works if you comment out either of these two lines
      thisJoinPoint.getSignature();
      System.out.println(thisJoinPoint);
   }
} 

2. RESULTS ON SOLARIS

[erik@oden test] java test.Test3 
 test.Test3@b8df17.x :=-3
 
Unexpected Signal : 11 occurred at PC=0xFA415A00
Function=[Unknown.]
Library=(N/A)
 
NOTE: We are unable to locate the function name symbol for the error
      just occurred. Please refer to release documentation for possible
      reason and solutions.
 
 
Current Java thread:
 
Dynamic libraries:
0x10000         java
0xff350000      /usr/lib/libthread.so.1
0xff390000      /usr/lib/libdl.so.1
0xff200000      /usr/lib/libc.so.1
0xff330000      /usr/platform/SUNW,Ultra-250/lib/libc_psr.so.1
0xfe000000      /usr/j2se/jre/lib/sparc/client/libjvm.so
0xff2e0000      /usr/lib/libCrun.so.1
0xff1e0000      /usr/lib/libsocket.so.1
0xff100000      /usr/lib/libnsl.so.1
0xff0d0000      /usr/lib/libm.so.1
0xff310000      /usr/lib/libw.so.1
0xff0b0000      /usr/lib/libmp.so.2
0xff080000      /usr/j2se/jre/lib/sparc/native_threads/libhpi.so
0xff050000      /usr/j2se/jre/lib/sparc/libverify.so
0xff020000      /usr/j2se/jre/lib/sparc/libjava.so
0xfe7e0000      /usr/j2se/jre/lib/sparc/libzip.so
0xfe5b0000      /usr/lib/locale/sv_SE/sv_SE.so.2
 
Local Time = Fri Jan 24 13:38:29 2003
Elapsed Time = 2
#
# HotSpot Virtual Machine Error : 11
# Error ID : 4F530E43505002D3 01
# Please report this error at
#  http://java.sun.com/cgi-bin/bugreport.cgi 
#
# Java VM: Java HotSpot(TM) Client VM (1.4.0-b92 mixed mode)
#
# An error report file has been saved as hs_err_pid15099.log.
# Please refer to the file for further information.
#
Abort
[erik@oden test] 
[erik@oden test] /usr/j2se.old/bin/java test.Test3
 test.Test3@1afa3.x :=-3
 
Unexpected Signal : 11 occurred at PC=0x85c24
Function name=(N/A)
Library=(N/A)
 
NOTE: We are unable to locate the function name symbol for the error
      just occurred. Please refer to release documentation for possible
      reason and solutions.
 
 
 
Current Java thread:
 
Dynamic libraries:
0x10000         /usr/j2se.old/bin/../bin/sparc/native_threads/java
0xff350000      /usr/lib/libthread.so.1
0xff390000      /usr/lib/libdl.so.1
0xff200000      /usr/lib/libc.so.1
0xff330000      /usr/platform/SUNW,Ultra-250/lib/libc_psr.so.1
0xfe480000      /usr/j2se.old/jre/lib/sparc/client/libjvm.so
0xff2e0000      /usr/lib/libCrun.so.1
0xff1e0000      /usr/lib/libsocket.so.1
0xff100000      /usr/lib/libnsl.so.1
0xff0d0000      /usr/lib/libm.so.1
0xff310000      /usr/lib/libw.so.1
0xff0b0000      /usr/lib/libmp.so.2
0xff080000      /usr/j2se.old/jre/lib/sparc/native_threads/libhpi.so
0xff050000      /usr/j2se.old/jre/lib/sparc/libverify.so
0xfe440000      /usr/j2se.old/jre/lib/sparc/libjava.so
0xff020000      /usr/j2se.old/jre/lib/sparc/libzip.so
0xfe260000      /usr/lib/locale/sv_SE/sv_SE.so.2
 
Local Time = Fri Jan 24 13:39:20 2003
Elapsed Time = 2
#
# HotSpot Virtual Machine Error : 11
# Error ID : 4F530E43505002C4 01
# Please report this error at
#  http://java.sun.com/cgi-bin/bugreport.cgi 
#
# Java VM: Java HotSpot(TM) Client VM (1.3.1_02-b02 mixed mode)
#
# An error report file has been saved as hs_err_pid15100.log.
# Please refer to the file for further information.
#
Abort
[erik@oden test] 

3. RESULTS ON WINDOWS 2000

Results on Windows 2000 (If I have copied it correctly)
 >java -classpath ..\..\aspectj1.1\lib\aspectjrt.jar;. test.Test3 
 test.Test3@1a8c4e7.x :=-3
Exception in thread ""main"" java.lang.NullPointerException
        at test.Log.ajc$afterReturning$test_Log$30d(Test3.java:37)
        at test.Test3.main(Test3.java:8)
 >java -version 
java version ""1.4.1_01""
Java(TM) 2 Runtime Environment, Standard Edition (build 1.4.1_01-b01)
Java HotSpot(TM) Client VM (build 1.4.1_01-b01, mixed mode)
java","['org.aspectj.org.aspectj.ajdt.core.src.org.aspectj.ajdt.internal.compiler.ast.ThisJoinPointVisitor-replaceEffectivelyStaticRef(MessageSend)', 'org.aspectj.org.aspectj.ajdt.core.src.org.aspectj.ajdt.internal.compiler.ast.ThisJoinPointVisitor-endVisit(SingleNameReference,BlockScope)', 'org.aspectj.org.aspectj.ajdt.core.src.org.aspectj.ajdt.internal.compiler.ast.ThisJoinPointVisitor-computeJoinPointParams()', 'org.aspectj.org.aspectj.ajdt.core.src.org.aspectj.ajdt.internal.compiler.ast.ThisJoinPointVisitor-isRef(Expression,Binding)', 'org.aspectj.org.aspectj.ajdt.core.src.org.aspectj.ajdt.internal.compiler.ast.ThisJoinPointVisitor-isRef(NameReference,Binding)']",https://bugs.eclipse.org/bugs/show_bug.cgi?id=30168,https://github.com/eclipse/org.aspectj/commit/d15eb32,d15eb325fc77d9f1eb0ac9ec1f6886562d531105,3e2801ad504e8f6b3fa7b50a42bf2706994e1727,2003/2/13 22:00,not localized
585,Pointcut adviceexecution() does not work,"Pointcut adviceexecution() does not seem to pick advice execution
join points in beta4. Here is a program that shows the problem:

public class Test {
    public static void main(String[] args) {
    }
}

aspect Aspect1 {
    before() : execution(* Test.*(..)) {
	System.out.println(""Reached "" + thisJoinPoint);
    }
}

aspect Aspect2 {
    before() : adviceexecution() && !within(Aspect2) {
	System.out.println(""Reached "" + thisJoinPoint);
    }
}

F:\aop\bugs\1.1\b4\adviceexecution>ajc -version
AspectJ Compiler 1.1beta4

F:\aop\bugs\1.1\b4\adviceexecution>ajc Test.java

F:\aop\bugs\1.1\b4\adviceexecution>java Test
Reached execution(void Test.main(String[]))","['org.aspectj.weaver.src.org.aspectj.weaver.patterns.SignaturePattern-matches(Member,World)', 'org.aspectj.weaver.src.org.aspectj.weaver.patterns.KindedPointcut-match(Shadow)']",https://bugs.eclipse.org/bugs/show_bug.cgi?id=31423,https://github.com/eclipse/org.aspectj/commit/19c3e16,19c3e16d2212bdd41144da2150c8ef46b4a759a5,d15eb325fc77d9f1eb0ac9ec1f6886562d531105,2003/2/13 22:24,not localized
583,Negation of if pointcut does not work,"In ""!if(expression)"" the negation part is ignored. I am using beta4.

How to reproduce:

public class Test {
    public static void main(String args[]) {
    }
}

aspect NotIfBugAspect {
    before() : execution(* main(..)) && !if(true) {
	System.out.println(""NotIfBugAspect message"");
    }
}

 > ajc *.java
> java Test 
NotIfBugAspect message

If I change the pointcut in before advice to move negation inside if(), 
everything works fine:
aspect NotIfBugAspect {
    before() : execution(* main(..)) && if(!true) {
	System.out.println(""NotIfBugAspect message"");
    }
}

 > ajc *.java
> java Test 
  <no output>","['org.aspectj.weaver.src.org.aspectj.weaver.patterns.IfPointcut-findResidue(Shadow,ExposedState)']",https://bugs.eclipse.org/bugs/show_bug.cgi?id=33635,https://github.com/eclipse/org.aspectj/commit/cb77524,cb775240056309c20aac308be5ab2abd9696be84,769afc68966b6ea101dfebca14c6d67bd426bfa0,2003/3/5 21:46,not localized
582,ajc reports error when encountering static declaration of nested classes,"Version: AspectJ Compiler 1.1beta4

The ajc compiler issues a spurious error message and exits with a negative 
error code when weaving code containing static declaration of a nested class. 
The compiler seem to write the classfiles correctly but the negative exit 
status causes problems when e.g. using the AjcCompilerAdapter in ant.

To reproduce:
1) Extract the following two files into an empty directory:
// File: A.aj:
aspect A  {

    pointcut withinTest(): within(Test);
    pointcut callToHandleOrder() : (withinTest() &&
                             call(* handleOrder(..)));

    Object around(): callToHandleOrder() {

      return ""DUMMY inserted by ASPECT"" ;
   }
}
// End of File A.aj

// File : Test.java
public class Test
{
    // Commenting out the static declaration makes everything work OK
    static
    {
        class StaticNestedClass
        {
        }
    }
    
    public static void main(String[] args)
    {
      System.out.println(new Test().handleOrder(""test""));
    }

    private String handleOrder(String t)
    {
      return t;
    }

}
// End of Test.java

2) Compile the files 
   ajc -sourceroots . -verbose

Output:
-----
compiling c:/aspectj1.1/doc/examples/bug/./A.aj
compiling c:/aspectj1.1/doc/examples/bug/./Test.java
weaving
might need to weave [UnwovenClassFile(null, Test$1$StaticNestedClass), 
UnwovenClassFile(null, A), UnwovenClassFile(null, Test)](world=true)
wrote class file: c:\aspectj1.1\doc\examples\bug\A.class
can't find type Test$1
wrote class file: c:\aspectj1.1\doc\examples\bug\Test$1$StaticNestedClass.class
wrote class file: c:\aspectj1.1\doc\examples\bug\Test.class

1 error
------","['org.aspectj.weaver.src.org.aspectj.weaver.NameMangler-makeVisibilityName(int,TypeX)', 'org.aspectj.weaver.src.org.aspectj.weaver.NameMangler-getOutermostType(TypeX)', 'org.aspectj.weaver.testsrc.org.aspectj.weaver.TypeXTestCase-testNameAndSigWithInners()', 'org.aspectj.weaver.src.org.aspectj.weaver.patterns.WithinPointcut-match(Shadow)', 'org.aspectj.weaver.src.org.aspectj.weaver.TypeX-getDeclaringType()', 'org.aspectj.weaver.src.org.aspectj.weaver.ResolvedTypeX-getOutermostType(ResolvedTypeX)', 'org.aspectj.weaver.src.org.aspectj.weaver.ResolvedTypeX-isVisible(int,ResolvedTypeX,ResolvedTypeX)']",https://bugs.eclipse.org/bugs/show_bug.cgi?id=32463,https://github.com/eclipse/org.aspectj/commit/d1e5c0a,d1e5c0a57c5da220b8f7357550db84f1009dbe2e,3556a2a33100520c708c71b786e87f086234ddfa,2003/3/6 0:24,not localized
580,can't resolve nested public interfaces,"This may be caused by the bug as 32399

file TransactionTest.java:
import sub.ExecutionMonitor;

public class TransactionTest {
    static Transaction theTransaction;

    private void assertCommitted() {
        theTransaction.getCount(""method-execution"", ""commit"");
    }

    static aspect MonitorTest {
        declare parents: Transaction implements ExecutionMonitor.MonitoredItem;
    }
}

class Transaction {
}

file sub/ExecutionMonitor.aj:
package sub;

public aspect ExecutionMonitor {
    public interface MonitoredItem {
        int getCount(String eventType, String eventName);
    }

    public int MonitoredItem.getCount(String eventType, String eventName) {
            return 0;
    } 
}         

sample compilation:
C:\devel>ajc -1.4 TransactionTest.java sub\ExecutionMonitor.aj
can't bind type name 'ExecutionMonitor$MonitoredItem'
C:/devel/TransactionTest.java:7: The method getCount(java.lang.String, java.lang
.String) is undefined for the type Transaction
theTransaction.getCount(""method-execution"", ""commit"");
               ^^^^^^^^

2 errors","['org.aspectj.org.aspectj.ajdt.core.src.org.aspectj.ajdt.internal.compiler.lookup.EclipseScope-lookupType(String,IHasPosition)']",https://bugs.eclipse.org/bugs/show_bug.cgi?id=32421,https://github.com/eclipse/org.aspectj/commit/0a175d2,0a175d2d0330eb9843ad17c917bb2434faab59e7,5d61a55e62fda794c101f2001bbad34f8c915e01,2003/3/6 22:12,not localized
